TravelArc_ID	Route	origin_node_ID	origin_Call	origin_Port	Round_Trip	OriginTime	TravelTime	Destination_node_ID	Destination_Call	Destination_Port	DestinationTime
1054	5	1081	7	PARANAGUA	8	84	3	1082	8	BUENOS AIRES	87
1055	5	1082	8	BUENOS AIRES	8	87	2	1083	9	MONTEVIDEO	89
1056	5	1083	9	MONTEVIDEO	8	89	5	1084	10	PARANAGUA	94
1057	5	1084	10	PARANAGUA	8	94	2	1085	11	SANTOS	96
1058	5	1085	11	SANTOS	8	96	13	1086	12	TANGER MED	109
1059	5	1086	12	TANGER MED	8	109	5	1087	13	LONDON GATEWAY PORT, ESS	114
1060	5	1087	13	LONDON GATEWAY PORT, ESS	8	114	1	1185	2	ROTTERDAM	115
1061	5	1088	1	LONDON GATEWAY PORT, ESS	9	58	1	1089	2	ROTTERDAM	59
1062	5	1089	2	ROTTERDAM	9	59	3	1090	3	HAMBURG	62
1063	5	1090	3	HAMBURG	9	62	3	1091	4	ANTWERP	65
1064	5	1091	4	ANTWERP	9	65	10	1092	5	TANGER MED	75
1065	5	1092	5	TANGER MED	9	75	13	1093	6	SANTOS	88
1066	5	1093	6	SANTOS	9	88	3	1094	7	PARANAGUA	91
1067	5	1094	7	PARANAGUA	9	91	3	1095	8	BUENOS AIRES	94
1068	5	1095	8	BUENOS AIRES	9	94	2	1096	9	MONTEVIDEO	96
1069	5	1096	9	MONTEVIDEO	9	96	5	1097	10	PARANAGUA	101
1070	5	1097	10	PARANAGUA	9	101	2	1098	11	SANTOS	103
1071	5	1098	11	SANTOS	9	103	13	1099	12	TANGER MED	116
1072	5	1099	12	TANGER MED	9	116	5	1100	13	LONDON GATEWAY PORT, ESS	121
1073	5	1101	2	ROTTERDAM	10	66	3	1102	3	HAMBURG	69
1074	5	1102	3	HAMBURG	10	69	3	1103	4	ANTWERP	72
1075	5	1103	4	ANTWERP	10	72	10	1104	5	TANGER MED	82
1076	5	1104	5	TANGER MED	10	82	13	1105	6	SANTOS	95
1077	5	1105	6	SANTOS	10	95	3	1106	7	PARANAGUA	98
1078	5	1106	7	PARANAGUA	10	98	3	1107	8	BUENOS AIRES	101
1079	5	1107	8	BUENOS AIRES	10	101	2	1108	9	MONTEVIDEO	103
1080	5	1108	9	MONTEVIDEO	10	103	5	1109	10	PARANAGUA	108
1081	5	1109	10	PARANAGUA	10	108	2	1110	11	SANTOS	110
1082	5	1110	11	SANTOS	10	110	13	1111	12	TANGER MED	123
1083	5	1111	12	TANGER MED	10	123	5	1112	13	LONDON GATEWAY PORT, ESS	128
1084	5	1113	2	ROTTERDAM	11	73	3	1114	3	HAMBURG	76
1085	5	1114	3	HAMBURG	11	76	3	1115	4	ANTWERP	79
1086	5	1115	4	ANTWERP	11	79	10	1116	5	TANGER MED	89
1087	5	1116	5	TANGER MED	11	89	13	1117	6	SANTOS	102
1088	5	1117	6	SANTOS	11	102	3	1118	7	PARANAGUA	105
1089	5	1118	7	PARANAGUA	11	105	3	1119	8	BUENOS AIRES	108
1090	5	1119	8	BUENOS AIRES	11	108	2	1120	9	MONTEVIDEO	110
1091	5	1120	9	MONTEVIDEO	11	110	5	1121	10	PARANAGUA	115
1092	5	1121	10	PARANAGUA	11	115	2	1122	11	SANTOS	117
1093	5	1122	11	SANTOS	11	117	13	1123	12	TANGER MED	130
1094	5	1123	12	TANGER MED	11	130	5	1124	13	LONDON GATEWAY PORT, ESS	135
